year,citations,group
2000,0,other
2001,3,other
2002,3,other
2003,4,other
2004,5,other
2005,4,other
2006,3,other
2007,10,other
2008,9,other
2009,21,other
2010,26,other
2011,43,other
2012,71,other
2013,93,other
2014,106,other
2015,130,other
2016,201,other
2017,254,other
2018,273,other
2019,373,other
2000,0,plants
2001,0,plants
2002,0,plants
2003,0,plants
2004,0,plants
2005,0,plants
2006,0,plants
2007,0,plants
2008,3,plants
2009,6,plants
2010,25,plants
2011,55,plants
2012,79,plants
2013,134,plants
2014,145,plants
2015,204,plants
2016,363,plants
2017,416,plants
2018,552,plants
2019,696,plants
