lat,long
32.56,-80.45
44.76,12.75
33.75,-118.11
60.28,19.82
35.3,-76.11
31.17,29.86
55.08,9.62
40.37,22.64
30.3,-90.56
29.76,-84.77
29.76,-84.77
28.05,-96.99
60.3,22
58.46,8.77
56.04,10.56
32.95,130.25
54.94,13.83
26.36,-97.37
29.67,-91.88
30.42,-88.86
27.32,-97.53
48.6,-2.22
48.17,-4.42
48.65,-2.3
48.72,-3.57
48.73,-3.87
48.63,-2.67
50.3,1.5
38.7,-75.1
58.9,20.5
51.67,-8.5
51.67,-8.5
29.52,-90.17
39.77,-74.09
52.24,-6.96
44.7,-1.15
47.5,-2.45
30.4,-87.26
51.33,3
55.5,11
33.3,131.54
32.9,-79.89
40.65,-73.82
-46.92,168
30.32,-87.36
43.3,-3
25.57,-80.22
45.5,30.3
52.43,-6.32
39.08,-75.46
21.13,-86.76
30.3,-87.88
55.45,19.13
42.34,-70.99
47.07,-2.09
28.97,-95.38
29.78,-89.07
32.4,-80.72
53.47,-6.17
28.9,-95
28.37,-94.68
50.83,-4.63
32.83,-80.02
41.7,-70.7
59.03,11.22
-34.09,151.13
50.96,1.85
30.02,-93.31
44.4,-124.2
26.62,-81.9
50.55,1.55
41.89,-70.35
35,-76.94
-36.3,174.85
52.48,-9.66
41.83,51.08
53.99,-6.22
42.38,-71.04
32.91,-79.95
26.76,-82.13
5.63,0.02
38.74,-76.45
37.82,-76.11
39.2,-76.1
18.33,-88.08
50.8,-0.92
35,128.58
30.45,-86.32
37.86,125.72
38.69,-76.27
52.1,-7.64
47.87,-3.92
-27.55,-48.45
41.35,-72.3
27.75,-97.29
37.47,-122
25.17,121.17
38.52,-75.06
32.92,-79.77
40,-75
39.87,-75.09
32.82,-79.96
33.88,130.8
54.55,-8.51
42.31,-71.04
59.63,10.42
25.19,55.33
52.07,-7.58
51.05,2.37
51.37,3.83
31,124
53.5,5.5
30.35,-88.36
40.8,-73.92
5.22,-4.7
54.5,10
53.8,9.1
37.86,23.55
36.81,-121.78
53.5,7
30.55,-87.16
13.2,-87.4
43.45,5.13
52.7,-9
55.7,-4.95
54.83,9.79
25.04,-80.73
40.63,-73.81
42.24,-70.96
56.1,-3.5
32.86,-79.86
5.12,-1.27
59.1,9.62
42.33,140.67
34.3,-77.76
29.41,-94.88
55,19.25
54.7,7
21.67,36.97
44.75,-1
34.32,136.67
37.22,-76.4
44.8,12.4
57.5,20.1
57.95,19.96
58,18
29.04,-89.12
29.37,-89.37
40.63,-73.79
43.07,-70.87
39.3,-74.63
40.71,-73.05
-23,-43
29.54,34.97
59.82,25.5
28.83,-91.41
28.95,-95.31
57.63,23.58
45,13.36
58.33,11.33
58.33,11.33
33.6,130.3
-32.67,115.67
58.3,11.77
41.93,-70.06
34.19,-77.87
27.83,-82.43
59,17.72
34.08,132.33
34,133.5
54.33,10.7
50.73,-2
47.56,-123
-36.08,146.93
41.53,-73.99
53.55,0
59.3,11.1
-22.4,-41.7
28.11,-80.6
54.67,-5.6
60.25,20
37.36,53.91
34.66,136.75
40.74,28.39
32.76,-79.94
35.05,128.52
17.96,-66.24
38.45,-76.27
54.44,10.4
34.68,127.67
57.51,10.84
56.14,11.52
56.86,11.46
44.03,-69.8
54.37,10.53
54.63,-8.43
55.5,12.36
58.25,11.58
5.55,-0.22
58.85,9.47
15.83,43.5
35.63,134.91
43.4,-8.4
-35,-57
56.54,12.81
35.47,133.2
30.1,-90
35.5,133
36.82,10.25
50.82,-1
28.58,-98.61
52.28,-9.93
52.28,-9.93
55.66,10.1
56.94,9.07
55.68,-1.78
55,10.08
56.25,-5.74
57.3,-5.5
47.2,-1.9
33.62,-78.88
41.08,-72.88
24.56,-81.41
33.74,-118.23
55.56,-4.9
51.88,-8.35
26.42,-97.36
54.03,10.88
32.32,-80.92
14.52,120.77
56.65,9.95
35.17,128.59
34.16,-77.85
28.5,-96.4
20,-17
-20.25,57.5
54.2,11.2
53.35,-2.9
34.61,137.05
40.6,-73.91
30.46,-88
40.17,-8.65
36.79,-121.9
-34.92,-56.22
10.82,-68.27
39.5,-74.33
41.68,-71.33
35.04,-76.58
60.09,29.57
32.82,-79.94
34.64,-77.34
39.96,-73.56
40.67,-73.98
33.62,-117.89
56.31,8.26
56.02,12.62
33.35,-79.19
37.63,-122.18
58.25,11.45
56.1,7.2
40.6,-73.77
55.51,10.55
54.5,14.3
29.28,-94.85
32.31,-80.93
29.8,-85.03
32.97,129.88
