seaweed,papers,production
Saccharina japonica,14,8219000
Gracilaria,38,4150000
Undaria pinnatifida,2,2070000
Kappaphycus alvarezii,1,1527000
Porphyra,5,1353000
Eucheuma denticulatum,2,214000
Ulva,28,0
Saccharina latissima,9,0
Laminaria digitata,2,0
Chaetomorpha linum,2,0
Macrocystis pyrifera,4,0
Mastocarpus stellatus,2,0
Palmaria palmata,4,0
Chondrus crispus,1,0
Codium tomentosum,1,0
Crassiphycus corneus,1,0
Fucus vesiculosus,1,0
Kappaphycus striatus,1,0
Osmundea pinnatifida,1,0
Rhodymenia pseudopalmata,1,0
Sargassum hemiphyllum,1,0
Sargassum muticum,1,0
Sargrassum fulvellum,1,0
Solieria filiformis,1,0
